name,value,year,lastValue,rank
El caso Newtral: Lucha contra la desinformacion,2,1552549440,1,1
El caso Newtral: Lucha contra la desinformacion,4,1552549500,2,1
El caso Newtral: Lucha contra la desinformacion,5,1552549560,4,1
El caso Newtral: Lucha contra la desinformacion,6,1552549620,5,1
El caso Newtral: Lucha contra la desinformacion,9,1552549740,6,1
El caso Newtral: Lucha contra la desinformacion,38,1552549800,9,1
El caso Newtral: Lucha contra la desinformacion,71,1552549860,38,1
El caso Newtral: Lucha contra la desinformacion,80,1552549920,71,1
El caso Newtral: Lucha contra la desinformacion,89,1552549980,80,1
El caso Newtral: Lucha contra la desinformacion,109,1552550040,89,1
El caso Newtral: Lucha contra la desinformacion,113,1552550100,109,1
El caso Newtral: Lucha contra la desinformacion,120,1552550160,113,1
El caso Newtral: Lucha contra la desinformacion,127,1552550220,120,1
El caso Newtral: Lucha contra la desinformacion,128,1552550280,127,1
El caso Newtral: Lucha contra la desinformacion,138,1552550340,128,1
El caso Newtral: Lucha contra la desinformacion,153,1552550400,138,1
El caso Newtral: Lucha contra la desinformacion,160,1552550460,153,1
El caso Newtral: Lucha contra la desinformacion,165,1552550520,160,1
El caso Newtral: Lucha contra la desinformacion,179,1552550580,165,1
El caso Newtral: Lucha contra la desinformacion,187,1552550640,179,1
El caso Newtral: Lucha contra la desinformacion,207,1552550700,187,1
El caso Newtral: Lucha contra la desinformacion,221,1552550760,207,1
El caso Newtral: Lucha contra la desinformacion,232,1552550820,221,1
El caso Newtral: Lucha contra la desinformacion,248,1552550880,232,1
El caso Newtral: Lucha contra la desinformacion,255,1552550940,248,1
El caso Newtral: Lucha contra la desinformacion,261,1552551000,255,1
El caso Newtral: Lucha contra la desinformacion,271,1552551060,261,1
El caso Newtral: Lucha contra la desinformacion,280,1552551120,271,1
El caso Newtral: Lucha contra la desinformacion,290,1552551180,280,1
El caso Newtral: Lucha contra la desinformacion,298,1552551240,290,1
El caso Newtral: Lucha contra la desinformacion,314,1552551300,298,1
El caso Newtral: Lucha contra la desinformacion,321,1552551360,314,1
El caso Newtral: Lucha contra la desinformacion,336,1552551420,321,1
El caso Newtral: Lucha contra la desinformacion,338,1552551480,336,1
El caso Newtral: Lucha contra la desinformacion,356,1552551600,338,1
El caso Newtral: Lucha contra la desinformacion,382,1552551660,356,1
El caso Newtral: Lucha contra la desinformacion,398,1552551720,382,1
El caso Newtral: Lucha contra la desinformacion,407,1552551780,398,1
El caso Newtral: Lucha contra la desinformacion,414,1552551840,407,1
El caso Newtral: Lucha contra la desinformacion,430,1552551900,414,1
El caso Newtral: Lucha contra la desinformacion,433,1552551960,430,1
El caso Newtral: Lucha contra la desinformacion,443,1552552020,433,1
El caso Newtral: Lucha contra la desinformacion,453,1552552080,443,1
El caso Newtral: Lucha contra la desinformacion,465,1552552140,453,1
El caso Newtral: Lucha contra la desinformacion,475,1552552200,465,1
El caso Newtral: Lucha contra la desinformacion,484,1552552260,475,1
El caso Newtral: Lucha contra la desinformacion,488,1552552320,484,1
El caso Newtral: Lucha contra la desinformacion,489,1552552380,488,1
El caso Newtral: Lucha contra la desinformacion,499,1552552440,489,1
El caso Newtral: Lucha contra la desinformacion,503,1552552500,499,1
El caso Newtral: Lucha contra la desinformacion,515,1552552560,503,1
El caso Newtral: Lucha contra la desinformacion,522,1552552620,515,1
El caso Newtral: Lucha contra la desinformacion,523,1552552680,522,1
El caso Newtral: Lucha contra la desinformacion,529,1552552740,523,1
El caso Newtral: Lucha contra la desinformacion,541,1552552800,529,1
El caso Newtral: Lucha contra la desinformacion,547,1552552860,541,1
El caso Newtral: Lucha contra la desinformacion,552,1552552920,547,1
El caso Newtral: Lucha contra la desinformacion,554,1552552980,552,1
El caso Newtral: Lucha contra la desinformacion,570,1552553040,554,1
El caso Newtral: Lucha contra la desinformacion,571,1552553220,570,1
El caso Newtral: Lucha contra la desinformacion,574,1552553340,571,1
El caso Newtral: Lucha contra la desinformacion,575,1552553400,574,1
El caso Newtral: Lucha contra la desinformacion,571,1552553460,575,1
El caso Newtral: Lucha contra la desinformacion,562,1552553520,571,1
El caso Newtral: Lucha contra la desinformacion,550,1552553580,562,1
El caso Newtral: Lucha contra la desinformacion,537,1552553640,550,1
El caso Newtral: Lucha contra la desinformacion,537,1552553700,537,1
El caso Newtral: Lucha contra la desinformacion,539,1552553760,537,1
El caso Newtral: Lucha contra la desinformacion,536,1552553820,539,1
El caso Newtral: Lucha contra la desinformacion,531,1552553880,536,1
El caso Newtral: Lucha contra la desinformacion,490,1552553940,531,1
El caso Newtral: Lucha contra la desinformacion,475,1552554000,490,1
El caso Newtral: Lucha contra la desinformacion,466,1552554060,475,1
El caso Newtral: Lucha contra la desinformacion,463,1552554120,466,1
El caso Newtral: Lucha contra la desinformacion,466,1552554180,463,1
El caso Newtral: Lucha contra la desinformacion,465,1552554240,466,1
El caso Newtral: Lucha contra la desinformacion,456,1552554300,465,1
El caso Newtral: Lucha contra la desinformacion,444,1552554360,456,1
El caso Newtral: Lucha contra la desinformacion,434,1552554420,444,1
El caso Newtral: Lucha contra la desinformacion,431,1552554480,434,1
El caso Newtral: Lucha contra la desinformacion,430,1552554540,431,1
El caso Newtral: Lucha contra la desinformacion,432,1552554600,430,1
El caso Newtral: Lucha contra la desinformacion,434,1552554660,432,1
El caso Newtral: Lucha contra la desinformacion,433,1552554720,434,1
El caso Newtral: Lucha contra la desinformacion,429,1552554780,433,1
El caso Newtral: Lucha contra la desinformacion,410,1552554840,429,1
El caso Newtral: Lucha contra la desinformacion,378,1552554900,410,1
